nombre,nombre_corto,equipo,posicion,precio_millones,puntos_totales,forma,porcentaje_seleccionado,lesionado_o_duda
Erling Haaland,Haaland,Man City,FWD,15.5,239,0.0,69.7,False
Bruno Borges Fernandes,B.Fernandes,Man Utd,MID,12.0,235,0.0,49.7,False
Bukayo Saka,Saka,Arsenal,MID,9.5,157,0.0,9.4,False
Cole Palmer,Palmer,Chelsea,MID,9.5,114,0.0,10.5,False
Alexander Isak,Isak,Liverpool,FWD,9.0,41,0.0,16.0,False
Antoine Semenyo,Semenyo,Man City,MID,8.5,202,0.0,26.5,False
Gabriel dos Santos Magalhães,Gabriel,Arsenal,DEF,8.0,209,0.0,29.3,False
Ollie Watkins,Watkins,Aston Villa,FWD,8.0,167,0.0,11.7,False
Igor Thiago Nascimento Rodrigues,Thiago,Brentford,FWD,8.0,181,0.0,17.8,False
Bryan Mbeumo,Mbeumo,Man Utd,MID,8.0,148,0.0,33.1,False
Matheus Santos Carneiro da Cunha,Cunha,Man Utd,MID,8.0,143,0.0,10.9,False
Morgan Gibbs-White,Gibbs-White,Nott'm Forest,MID,8.0,188,0.0,12.0,False
Declan Rice,Rice,Arsenal,MID,7.5,184,0.0,19.3,False
Viktor Gyökeres,Gyökeres,Arsenal,FWD,7.5,128,0.0,10.3,False
Kai Havertz,Havertz,Arsenal,FWD,7.5,36,0.0,4.7,False
Junior Kroupi,Kroupi.Jr,Bournemouth,MID,7.5,113,0.0,1.1,True
Morgan Rogers,Rogers,Chelsea,MID,7.5,169,0.0,26.1,False
João Pedro Junqueira de Jesus,João Pedro,Chelsea,FWD,7.5,177,0.0,61.5,False
Florian Wirtz,Wirtz,Liverpool,MID,7.5,125,0.0,14.2,False
Hugo Ekitiké,Ekitiké,Liverpool,FWD,7.5,125,0.0,0.2,True
Rayan Cherki,Cherki,Man City,MID,7.5,135,0.0,7.9,False
Jérémy Doku,Doku,Man City,MID,7.5,120,0.0,4.7,True
Bruno Guimarães Rodriguez Moura,Bruno G.,Arsenal,MID,7.0,154,0.0,8.5,False
Enzo Fernández,Enzo,Chelsea,MID,7.0,157,0.0,5.1,False
Cody Gakpo,Gakpo,Liverpool,MID,7.0,131,0.0,3.6,False
Dominik Szoboszlai,Szoboszlai,Liverpool,MID,7.0,160,0.0,41.4,False
Phil Foden,Foden,Man City,MID,7.0,131,0.0,4.5,False
Omar Marmoush,Marmoush,Man City,FWD,7.0,56,0.0,0.8,False
Marcus Rashford,Rashford,Man Utd,MID,7.0,0,0.0,1.5,False
Benjamin Sesko,Šeško,Man Utd,FWD,7.0,111,0.0,1.5,True
Jurriën Timber,J.Timber,Arsenal,DEF,6.5,149,0.0,0.2,True
Eberechi Eze,Eze,Arsenal,MID,6.5,113,0.0,2.3,False
Martin Ødegaard,Ødegaard,Arsenal,MID,6.5,74,0.0,6.3,False
Noni Madueke,Madueke,Arsenal,MID,6.5,72,0.0,0.3,False
Gabriel Martinelli Silva,Martinelli,Arsenal,MID,6.5,57,0.0,0.2,False
Christos Tzolis,Tzolis,Arsenal,MID,6.5,0,0.0,18.2,False
Rayan Vitor Simplício Rocha,Rayan,Bournemouth,MID,6.5,67,0.0,3.0,False
Dango Ouattara,O.Dango,Brentford,MID,6.5,136,0.0,1.4,False
Pedro Lomba Neto,Neto,Chelsea,MID,6.5,125,0.0,1.3,False
Estêvão Almeida de Oliveira Gonçalves,Estêvão,Chelsea,MID,6.5,58,0.0,1.4,False
Nicolas Jackson,N.Jackson,Chelsea,FWD,6.5,0,0.0,0.3,False
Ismaïla Sarr,Sarr,Crystal Palace,MID,6.5,117,0.0,5.8,False
Jean-Philippe Mateta,Mateta,Crystal Palace,FWD,6.5,114,0.0,6.0,False
Kiernan Dewsbury-Hall,Dewsbury-Hall,Everton,MID,6.5,151,0.0,3.4,False
Harry Wilson,Wilson,Leeds,MID,6.5,168,0.0,7.0,False
Virgil van Dijk,Virgil,Liverpool,DEF,6.5,175,0.0,18.4,False
Victor Munoz,Munoz,Liverpool,MID,6.5,0,0.0,0.6,False
