nombre,posicion,equipo,ecr,sd,mejor,peor,fecha
Ja'Marr Chase,WR,CIN,1.6,0.9,1.0,4.0,2026-08-28
Jahmyr Gibbs,RB,DET,2.5,1.3,1.0,7.0,2026-08-28
Puka Nacua,WR,LAR,3.2,1.2,1.0,8.0,2026-08-28
Bijan Robinson,RB,ATL,4.1,1.4,2.0,7.0,2026-08-28
Jaxon Smith-Njigba,WR,SEA,4.7,1.3,1.0,8.0,2026-08-28
Amon-Ra St. Brown,WR,DET,5.4,1.3,3.0,9.0,2026-08-28
CeeDee Lamb,WR,DAL,9.0,1.8,6.0,16.0,2026-08-28
Christian McCaffrey,RB,SF,9.2,4.3,5.0,24.0,2026-08-28
Justin Jefferson,WR,MIN,9.4,2.3,4.0,20.0,2026-08-28
Jonathan Taylor,RB,IND,11.9,5.3,7.0,33.0,2026-08-28
Drake London,WR,ATL,12.9,3.8,8.0,26.0,2026-08-28
A.J. Brown,WR,NE,14.2,5.5,6.0,35.0,2026-08-28
James Cook III,RB,BUF,16.0,6.5,7.0,34.0,2026-08-28
Nico Collins,WR,HOU,16.0,3.9,9.0,28.0,2026-08-28
Chase Brown,RB,CIN,17.9,5.6,8.0,34.0,2026-08-28
Chris Olave,WR,NO,18.0,5.7,9.0,36.0,2026-08-28
Brock Bowers,TE,LV,19.0,5.0,11.0,57.0,2026-08-28
George Pickens,WR,DAL,20.4,6.1,9.0,40.0,2026-08-28
De'Von Achane,RB,MIA,21.0,7.1,10.0,43.0,2026-08-28
Trey McBride,TE,ARI,21.0,6.2,16.0,57.0,2026-08-28
DeVonta Smith,WR,PHI,24.0,6.8,12.0,45.0,2026-08-28
Saquon Barkley,RB,PHI,24.4,7.0,10.0,39.0,2026-08-28
Malik Nabers,WR,NYG,24.5,9.1,11.0,51.0,2026-08-28
Rashee Rice,WR,KC,24.7,9.1,9.0,48.0,2026-08-28
Omarion Hampton,RB,LAC,25.6,7.7,7.0,47.0,2026-08-28
Josh Allen,QB,BUF,25.8,2.7,21.0,39.0,2026-08-28
Kenneth Walker III,RB,KC,26.1,8.4,12.0,53.0,2026-08-28
Ashton Jeanty,RB,LV,26.4,9.2,11.0,53.0,2026-08-28
Garrett Wilson,WR,NYJ,29.6,7.8,12.0,47.0,2026-08-28
Zay Flowers,WR,BAL,30.3,8.3,15.0,48.0,2026-08-28
Lamar Jackson,QB,BAL,32.1,8.8,25.0,61.0,2026-08-28
Jaylen Waddle,WR,DEN,34.8,7.8,18.0,62.0,2026-08-28
Ladd McConkey,WR,LAC,34.9,7.2,18.0,51.0,2026-08-28
Tetairoa McMillan,WR,CAR,35.6,6.9,18.0,50.0,2026-08-28
Tee Higgins,WR,CIN,36.9,6.9,19.0,51.0,2026-08-28
Colston Loveland,TE,CHI,37.4,13.7,22.0,95.0,2026-08-28
Drake Maye,QB,NE,37.7,12.7,26.0,74.0,2026-08-28
Derrick Henry,RB,BAL,37.7,8.5,16.0,47.0,2026-08-28
Breece Hall,RB,NYJ,39.9,6.0,28.0,56.0,2026-08-28
Emeka Egbuka,WR,TB,40.8,7.3,15.0,62.0,2026-08-28
Jeremiyah Love,RB,ARI,41.4,8.2,27.0,65.0,2026-08-28
Kyren Williams,RB,LAR,41.5,6.7,24.0,59.0,2026-08-28
Javonte Williams,RB,DAL,44.6,6.0,31.0,61.0,2026-08-28
Joe Burrow,QB,CIN,45.8,12.9,27.0,72.0,2026-08-28
Josh Jacobs,RB,GB,46.9,8.4,24.0,67.0,2026-08-28
Luther Burden III,WR,CHI,47.0,8.8,20.0,69.0,2026-08-28
Terry McLaurin,WR,WAS,47.2,6.2,26.0,68.0,2026-08-28
Travis Etienne Jr.,RB,NO,47.6,7.6,31.0,65.0,2026-08-28
Davante Adams,WR,LAR,50.1,8.1,29.0,69.0,2026-08-28
DJ Moore,WR,BUF,52.1,12.6,19.0,100.0,2026-08-28
Tyler Warren,TE,IND,53.1,10.9,22.0,73.0,2026-08-28
Jayden Daniels,QB,WAS,53.2,15.6,27.0,101.0,2026-08-28
D'Andre Swift,RB,CHI,54.7,8.0,34.0,75.0,2026-08-28
Jameson Williams,WR,DET,54.7,10.3,40.0,96.0,2026-08-28
Mike Evans,WR,SF,56.2,10.7,38.0,83.0,2026-08-28
Jalen Hurts,QB,PHI,56.5,12.8,30.0,79.0,2026-08-28
Cam Skattebo,RB,NYG,57.4,8.4,41.0,77.0,2026-08-28
Rome Odunze,WR,CHI,57.5,9.5,40.0,88.0,2026-08-28
Christian Watson,WR,GB,57.6,10.8,38.0,107.0,2026-08-28
Bucky Irving,RB,TB,58.7,9.0,41.0,80.0,2026-08-28
David Montgomery,RB,HOU,61.4,8.6,43.0,78.0,2026-08-28
Quinshon Judkins,RB,CLE,62.0,9.2,39.0,78.0,2026-08-28
Parker Washington,WR,JAC,63.3,16.2,40.0,110.0,2026-08-28
Caleb Williams,QB,CHI,67.1,12.6,37.0,98.0,2026-08-28
Bhayshul Tuten,RB,JAC,67.2,9.6,43.0,93.0,2026-08-28
Carnell Tate,WR,TEN,68.3,14.8,45.0,116.0,2026-08-28
Marvin Harrison Jr.,WR,ARI,68.6,12.4,40.0,110.0,2026-08-28
TreVeyon Henderson,RB,NE,71.0,9.9,46.0,96.0,2026-08-28
Justin Herbert,QB,LAC,71.6,13.7,30.0,105.0,2026-08-28
Jadarian Price,RB,SEA,73.2,12.1,47.0,127.0,2026-08-28
Harold Fannin Jr.,TE,CLE,73.4,11.8,54.0,112.0,2026-08-28
Chris Godwin Jr.,WR,TB,76.5,14.2,45.0,121.0,2026-08-28
Rhamondre Stevenson,RB,NE,77.3,9.4,56.0,117.0,2026-08-28
Jaylen Warren,RB,PIT,77.3,8.0,65.0,99.0,2026-08-28
Trevor Lawrence,QB,JAC,77.8,13.1,54.0,105.0,2026-08-28
Dak Prescott,QB,DAL,78.2,11.8,54.0,105.0,2026-08-28
DK Metcalf,WR,PIT,78.9,12.6,48.0,115.0,2026-08-28
Kyle Pitts Sr.,TE,ATL,78.9,10.9,61.0,131.0,2026-08-28
Brian Thomas Jr.,WR,JAC,80.0,13.7,49.0,123.0,2026-08-28
Michael Pittman Jr.,WR,PIT,80.4,14.4,45.0,117.0,2026-08-28
Tucker Kraft,TE,GB,80.5,13.7,32.0,106.0,2026-08-28
Courtland Sutton,WR,DEN,83.3,14.6,49.0,116.0,2026-08-28
Tony Pollard,RB,TEN,85.0,10.4,67.0,120.0,2026-08-28
Wan'Dale Robinson,WR,TEN,85.6,14.6,48.0,123.0,2026-08-28
Sam LaPorta,TE,DET,85.8,14.0,54.0,131.0,2026-08-28
Josh Downs,WR,IND,87.2,14.9,52.0,133.0,2026-08-28
Michael Wilson,WR,ARI,88.4,16.5,52.0,133.0,2026-08-28
Rico Dowdle,RB,PIT,88.8,12.9,65.0,122.0,2026-08-28
Jonathon Brooks,RB,CAR,90.8,18.6,61.0,152.0,2026-08-28
Quentin Johnston,WR,LAC,95.8,14.0,64.0,134.0,2026-08-28
Stefon Diggs,WR,WAS,96.5,32.1,48.0,215.0,2026-08-28
Brock Purdy,QB,SF,96.5,10.0,63.0,119.0,2026-08-28
Jaxson Dart,QB,NYG,97.5,12.9,59.0,119.0,2026-08-28
RJ Harvey,RB,DEN,97.5,16.5,65.0,140.0,2026-08-28
Travis Kelce,TE,KC,98.5,14.8,66.0,139.0,2026-08-28
George Kittle,TE,SF,98.9,18.8,66.0,229.0,2026-08-28
Chuba Hubbard,RB,CAR,98.9,16.8,72.0,143.0,2026-08-28
Bo Nix,QB,DEN,99.3,10.0,70.0,125.0,2026-08-28
Kenny Gainwell,RB,TB,100.1,13.8,77.0,141.0,2026-08-28
Alec Pierce,WR,IND,100.3,20.3,62.0,142.0,2026-08-28
J.K. Dobbins,RB,DEN,100.5,15.3,78.0,127.0,2026-08-28
Patrick Mahomes II,QB,KC,101.5,11.4,63.0,132.0,2026-08-28
Jayden Reed,WR,GB,104.2,13.9,76.0,133.0,2026-08-28
Matthew Stafford,QB,LAR,104.3,12.8,63.0,129.0,2026-08-28
Jakobi Meyers,WR,JAC,104.5,18.2,68.0,150.0,2026-08-28
Jordan Addison,WR,MIN,105.6,15.9,71.0,165.0,2026-08-28
Jared Goff,QB,DET,106.4,10.3,63.0,131.0,2026-08-28
Makai Lemon,WR,PHI,109.7,17.8,71.0,149.0,2026-08-28
Rachaad White,RB,WAS,111.9,16.1,78.0,156.0,2026-08-28
Blake Corum,RB,LAR,112.1,13.8,80.0,143.0,2026-08-28
Dalton Kincaid,TE,BUF,112.4,16.1,85.0,155.0,2026-08-28
Kyler Murray,QB,MIN,112.8,8.6,92.0,134.0,2026-08-28
Jacory Croskey-Merritt,RB,WAS,113.7,15.8,72.0,135.0,2026-08-28
Jordan Mason,RB,MIN,115.7,16.3,75.0,152.0,2026-08-28
Aaron Jones Sr.,RB,MIN,115.8,17.3,77.0,156.0,2026-08-28
Kyle Monangai,RB,CHI,117.0,14.2,84.0,162.0,2026-08-28
Dallas Goedert,TE,PHI,117.2,17.2,85.0,173.0,2026-08-28
KC Concepcion,WR,CLE,118.1,28.9,71.0,289.0,2026-08-28
Baker Mayfield,QB,TB,118.4,9.7,70.0,141.0,2026-08-28
Jake Ferguson,TE,DAL,118.5,19.5,73.0,181.0,2026-08-28
Jordan Love,QB,GB,119.0,9.5,92.0,144.0,2026-08-28
Isaiah Likely,TE,NYG,123.1,29.2,87.0,236.0,2026-08-28
Khalil Shakir,WR,BUF,123.4,17.7,83.0,201.0,2026-08-28
Tyler Shough,QB,NO,124.3,13.7,98.0,207.0,2026-08-28
Jalen Coker,WR,CAR,124.7,17.6,81.0,176.0,2026-08-28
Romeo Doubs,WR,NE,127.3,16.1,81.0,176.0,2026-08-28
Matthew Golden,WR,GB,128.8,20.7,76.0,195.0,2026-08-28
Xavier Worthy,WR,KC,129.3,14.9,91.0,184.0,2026-08-28
Malik Willis,QB,MIA,130.0,22.7,98.0,255.0,2026-08-28
Mark Andrews,TE,BAL,131.7,23.7,87.0,229.0,2026-08-28
De'Zhaun Stribling,WR,SF,133.0,42.7,71.0,281.0,2026-08-28
Juwan Johnson,TE,NO,134.2,22.5,87.0,226.0,2026-08-28
Jordyn Tyson,WR,NO,135.2,28.8,91.0,241.0,2026-08-28
Woody Marks,RB,HOU,137.2,13.9,93.0,168.0,2026-08-28
Deebo Samuel Sr.,WR,SF,138.5,32.3,81.0,232.0,2026-08-28
Tyler Allgeier,RB,ARI,138.7,12.2,117.0,177.0,2026-08-28
Tyjae Spears,RB,TEN,139.4,18.2,93.0,197.0,2026-08-28
Sam Darnold,QB,SEA,139.9,14.3,113.0,208.0,2026-08-28
Chris Rodriguez Jr.,RB,JAC,140.0,18.0,102.0,228.0,2026-08-28
C.J. Stroud,QB,HOU,145.3,18.1,108.0,236.0,2026-08-28
Daniel Jones,QB,IND,148.0,24.9,113.0,255.0,2026-08-28
Rashid Shaheed,WR,SEA,148.8,16.1,123.0,205.0,2026-08-28
Dylan Sampson,RB,CLE,148.9,19.7,93.0,219.0,2026-08-28
Denzel Boston,WR,CLE,150.6,33.4,100.0,305.0,2026-08-28
Keaton Mitchell,RB,LAC,151.5,27.8,102.0,301.0,2026-08-28
Houston Texans,DST,HOU,152.9,5.6,143.0,175.0,2026-08-28
Zach Charbonnet,RB,SEA,154.2,27.8,117.0,275.0,2026-08-28
Jonah Coleman,RB,DEN,156.4,30.1,116.0,304.0,2026-08-28
Cam Ward,QB,TEN,156.6,21.1,128.0,255.0,2026-08-28
Brenton Strange,TE,JAC,159.0,23.7,112.0,226.0,2026-08-28
Chig Okonkwo,TE,WAS,160.4,24.9,112.0,228.0,2026-08-28
Tyrone Tracy Jr.,RB,NYG,162.2,34.3,117.0,274.0,2026-08-28
Tre Tucker,WR,LV,163.0,25.9,116.0,247.0,2026-08-28
Dalton Schultz,TE,HOU,163.7,23.6,111.0,209.0,2026-08-28
Denver Broncos,DST,DEN,163.9,7.7,149.0,210.0,2026-08-28
Isiah Pacheco,RB,DET,164.0,24.4,127.0,252.0,2026-08-28
Hunter Henry,TE,NE,164.7,23.0,112.0,229.0,2026-08-28
Mike Washington Jr.,RB,LV,165.4,38.1,101.0,308.0,2026-08-28
Alvin Kamara,RB,NO,166.1,33.7,117.0,278.0,2026-08-28
Jauan Jennings,WR,MIN,166.5,31.6,109.0,282.0,2026-08-28
Adonai Mitchell,WR,NYJ,166.8,25.6,110.0,232.0,2026-08-28
Seattle Seahawks,DST,SEA,167.8,12.7,148.0,280.0,2026-08-28
Los Angeles Rams,DST,LAR,167.9,8.2,144.0,206.0,2026-08-28
Jerry Jeudy,WR,CLE,168.0,26.9,121.0,262.0,2026-08-28
Tank Bigsby,RB,PHI,171.5,24.7,133.0,243.0,2026-08-28
Bryce Young,QB,CAR,172.1,30.1,134.0,326.0,2026-08-28
Jalen McMillan,WR,TB,172.6,26.6,133.0,293.0,2026-08-28
Philadelphia Eagles,DST,PHI,174.9,9.4,156.0,235.0,2026-08-28
Braelon Allen,RB,NYJ,175.4,30.2,122.0,288.0,2026-08-28
Brian Robinson Jr.,RB,ATL,177.1,21.6,134.0,243.0,2026-08-28
MarShawn Lloyd,RB,GB,179.0,50.9,118.0,327.0,2026-08-28
Kayshon Boutte,WR,HOU,179.4,29.0,126.0,273.0,2026-08-28
